"","req_id","src_sys_cd","LT","SubCnt","DistrCnt","RespCnt","CompSubClass","CompDistrClass","WinLose","NTE","SubRt","Sub_NTE","SubTime","SubRank","Result"
"135","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,85.68,0.985,9,26,"Interview"
"136","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,82,0.943,9,27,"Shortlist"
"137","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,78.03,0.897,9,28,"Shortlist"
"138","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,10,29,"Shortlist"
"139","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,82,0.943,10,30,"Submit Only"
"140","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,65,0.747,36,31,"Submit Only"
"141","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,36,32,"Shortlist"
"142","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,36,33,"Shortlist"
"143","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,85,0.977,51,34,"Submit Only"
"144","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,43,0.494,51,35,"Submit Only"
"145","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,51,36,"Shortlist"
"146","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,51,37,"Shortlist"
"147","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,62,0.713,52,38,"Submit Only"
"148","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,55,0.632,56,39,"Submit Only"
"149","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,61,0.701,57,40,"Submit Only"
"150","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","1",87,95,1.092,57,41,"Hire"
"151","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,62,0.713,59,42,"Submit Only"
"152","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,70,0.931,1,1,"Shortlist"
"153","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,75.2,1,2,2,"Shortlist"
"154","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,75.2,1,3,3,"Shortlist"
"155","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,80,1.064,3,4,"Shortlist"
"156","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,83.5,1.11,3,5,"Interview"
"157","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,75.19,1,6,6,"Shortlist"
"158","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,75.2,1,8,7,"Interview"
"159","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,75.2,1,9,8,"Shortlist"
"160","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,75.2,1,20,9,"Interview"
"161","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","1",75.2,75.2,1,31,10,"Hire"
"162","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,96.6,1.285,31,11,"Shortlist"
"163","10074-1                  ","BL        ","Admin / Clerical",12,38,8,"Medium","High","0",75.2,89,1.184,44,12,"Shortlist"
"164","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64,0.905,3,1,"Shortlist"
"165","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,6,2,"Shortlist"
"166","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,6,3,"Shortlist"
"167","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,7,4,"Shortlist"
"168","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,7,5,"Shortlist"
"169","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,60.67,0.858,8,6,"Shortlist"
"170","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,70.07,0.991,8,7,"Shortlist"
"171","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64,0.905,13,8,"Shortlist"
"172","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,91,1.287,23,9,"Submit Only"
"173","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,75,1.06,23,10,"Shortlist"
"174","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,75,1.06,24,11,"Shortlist"
"175","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,29,12,"Shortlist"
"176","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,30,13,"Submit Only"
"177","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,67.3,0.952,31,14,"Submit Only"
"178","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,67.3,0.952,31,15,"Submit Only"
"179","10079-1                  ","BL        ","Accounting / Finance",17,11,11,"High","Medium","0",70.73,64.3,0.909,31,16,"Submit Only"
"180","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,98.7,0.909,2,1,"Shortlist"
"181","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,95,0.875,3,2,"Submit Only"
"182","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,96.75,0.891,4,3,"Shortlist"
"183","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,95,0.875,4,4,"Shortlist"
"184","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,98.7,0.909,7,5,"Shortlist"
"185","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,92,0.847,7,6,"Shortlist"
"186","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,96.5,0.889,7,7,"Shortlist"
"187","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","1",108.57,105,0.967,8,8,"Hire"
"188","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,84,0.774,8,9,"Shortlist"
"189","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,103,0.949,8,10,"Shortlist"
"190","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,95.5,0.88,8,11,"Shortlist"
"191","10080-1                  ","BL        ","Accounting / Finance",12,7,7,"Medium","Medium","0",108.57,98.2,0.904,18,12,"Submit Only"
"192","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,80,0.788,1,1,"Shortlist"
"193","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,73.8,0.727,1,2,"Submit Only"
"194","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,88.44,0.871,1,3,"Submit Only"
"195","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,89,0.876,1,4,"Shortlist"
"196","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,90,0.886,1,5,"Shortlist"
"197","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,89.99,0.886,1,6,"Shortlist"
"198","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,90,0.886,1,7,"Shortlist"
"199","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,90,0.886,2,8,"Shortlist"
"200","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","1",101.55,90,0.886,2,9,"Hire"
"201","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,90,0.886,2,10,"Shortlist"
"202","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,75,0.739,2,11,"Shortlist"
"203","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,89.5,0.881,2,12,"Shortlist"
"204","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,89,0.876,2,13,"Shortlist"
"205","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,89,0.876,3,14,"Shortlist"
"206","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,81.49,0.802,3,15,"Shortlist"
"207","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,89,0.876,3,16,"Shortlist"
"208","10087-1                  ","BL        ",NA,18,10,10,"High","Medium","0",101.55,86.5,0.852,3,17,"Shortlist"
"209","10095-1                  ","BL        ","Light Industrial",3,8,2,"Low","Medium","0",110.33,115.5,1.047,2,1,"Submit Only"
"210","10095-1                  ","BL        ","Light Industrial",3,8,2,"Low","Medium","0",110.33,100.39,0.91,7,2,"Submit Only"
"211","10095-1                  ","BL        ","Light Industrial",3,8,2,"Low","Medium","0",110.33,92.5,0.838,7,3,"Submit Only"
"212","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","0",97.05,84.39,0.87,0,1,"Shortlist"
"213","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","0",97.05,84.39,0.87,1,2,"Shortlist"
"214","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","0",97.05,82.7,0.852,2,3,"Interview"
"215","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","0",97.05,84.39,0.87,2,4,"Shortlist"
"216","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","0",97.05,94.5,0.974,3,5,"Shortlist"
"217","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","0",97.05,89,0.917,13,6,"Interview"
"218","10097-1                  ","BL        ","Light Industrial",7,7,5,"Medium","Medium","1",97.05,84.3,0.869,16,7,"Hire"
"219","10099-1                  ","BL        ","Information Technology",31,39,17,"High","High","0",148.51,84,0.566,-742,1,"Submit Only"
"220","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,84,0.84,0,2,"Submit Only"
"221","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,79.97,0.8,0,3,"Submit Only"
"222","10099-1                  ","BL        ","Information Technology",31,39,17,"High","High","0",148.51,79.97,0.538,-742,4,"Submit Only"
"223","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,90,0.9,0,5,"Submit Only"
"224","10099-1                  ","BL        ","Information Technology",31,39,17,"High","High","0",148.51,90,0.606,-742,6,"Submit Only"
"225","10099-1                  ","BL        ","Information Technology",31,39,17,"High","High","0",148.51,84,0.566,-742,7,"Shortlist"
"226","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,84,0.84,0,8,"Shortlist"
"227","10099-1                  ","BL        ","Information Technology",31,39,17,"High","High","0",148.51,89,0.599,-742,9,"Shortlist"
"228","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,89,0.89,0,10,"Shortlist"
"229","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,90,0.9,0,11,"Shortlist"
"230","10099-1                  ","BL        ","Information Technology",31,39,17,"High","High","0",148.51,90,0.606,-742,12,"Shortlist"
"231","10099-1                  ","BL        ","Scientific",31,39,17,"High","High","0",100,84,0.84,1,13,"Submit Only"
